camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
13.0 megapixels;1.6;http://www.buscape.com.br/smartphone-samsung-galaxy-j7-prime-sm-g610m;dual;1920 x 1080;5.5;j7 prime sm-g610m;3.0;galaxy;999.0;8.0 megapixels frontal;samsung;32.0
13.0 megapixels;1.4;http://www.buscape.com.br/smartphone-motorola-moto-g-5-xt1672;dual;1920 x 1080;5.0;5 xt1672;2.0;moto g;798.0;5.0 megapixels frontal;motorola;32.0
13.0 megapixels;1.2;http://www.buscape.com.br/smartphone-samsung-galaxy-j5-sm-j500m;dual;720 x 1280;5.0;j5 sm-j500m;1.5;galaxy;599.45;5.0 megapixels frontal;samsung;16.0
8.0 megapixels;1.4;http://www.buscape.com.br/smartphone-samsung-galaxy-j2-prime-sm-g532m;dual;540 x 960;5.0;j2 prime sm-g532m;1.5;galaxy;539.0;5.0 megapixels frontal;samsung;8.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-s8-sm-g950;;1440 x 2960;5.8;s8 sm-g950;4.0;galaxy;2989.0;8.0 megapixels frontal;samsung;64.0
12.0 megapixels;2.0;http://www.buscape.com.br/smartphone-motorola-moto-g-5-plus-xt1683;dual;1920 x 1080;5.2;5 plus xt1683;2.0;moto g;1091.16;5.0 megapixels frontal;motorola;32.0
13.0 megapixels;1.5;http://www.buscape.com.br/smartphone-lg-k10-novo-m250;dual;1280 x 720;5.3;k10 novo m250;2.0;;678.04;5.0 megapixels frontal;lg;32.0
13.0 megapixels;;http://www.buscape.com.br/smartphone-lg-k10-k430tv;dual;720 x 1280;5.3;k10 k430tv;;;565.9;8.0 megapixels frontal;lg;16.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-s7-edge-sm-g935-32gb;single;2560 x 1440;5.5;s7 edge sm-g935 32gb;4.0;galaxy;2037.2;5.0 megapixels frontal;samsung;32.0
13.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-j7-sm-j710m;dual;1280 x 720;5.5;j7 sm-j710m;2.0;galaxy;764.1;5.0 megapixels frontal;samsung;16.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-s8-plus-sm-g955;;1440 x 2960;6.2;s8+ plus sm-g955;4.0;galaxy;3299.0;8.0 megapixels frontal;samsung;64.0
8.0 megapixels;1.1;http://www.buscape.com.br/smartphone-lg-k4-novo-x230;dual;;5.0;k4 novo x230;1.0;;479.86;5.0 megapixels frontal;lg;8.0
5.0 megapixels;1.2;http://www.buscape.com.br/smartphone-samsung-galaxy-j1-mini-sm-j105;dual;800 x 480;4.0;j1 mini sm-j105;;galaxy;319.0;1.3 megapixels frontal;samsung;8.0
16.0 megapixels;1.9;http://www.buscape.com.br/smartphone-samsung-galaxy-a5-sm-a520;dual;1920 x 1080;5.2;a5 sm-a520;3.0;galaxy;1274.15;16 megapixels frontal;samsung;32.0
16.0 megapixels;1.9;http://www.buscape.com.br/smartphone-samsung-galaxy-a7-sm-a720;dual;1920 x 1080;5.7;a7 sm-a720;3.0;galaxy;1466.1;16 megapixels frontal;samsung;32.0
13.0 megapixels;1.2;http://www.buscape.com.br/smartphone-samsung-galaxy-j5-sm-j510m;dual;1280 x 720;5.2;j5 sm-j510m;2.0;galaxy;650.07;5.0 megapixels frontal;samsung;16.0
13.0 megapixels;1.5;http://www.buscape.com.br/smartphone-lg-k10-power-m320tv;dual;1280 x 720;5.5;k10 power m320tv;;;829.04;5.0 megapixels frontal;lg;32.0
13.0 megapixels;1.5;http://www.buscape.com.br/smartphone-samsung-galaxy-j7-sm-j700m;dual;720 x 1280;5.5;j7 sm-j700m;1.5;galaxy;703.12;5.0 megapixels frontal;samsung;16.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-s7-sm-g930-32gb;single;2560 x 1440;5.1;s7 sm-g930 32gb;4.0;galaxy;1889.1;5.0 megapixels frontal;samsung;32.0
13.0 megapixels;;http://www.buscape.com.br/smartphone-lenovo-vibe-k6;dual;1920 x 1080;5.0;vibe k6;2.0;;698.01;8.0 megapixels frontal;lenovo;32.0
;;http://www.buscape.com.br/celular-multilaser-up-dual;dual;;1.8;up dual;;;64.9;;multilaser;
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-7-32gb;single;1334 x 750;4.7;7 32gb;2.0;iphone;2797.52;7 megapixels frontal;apple;32.0
16.0 megapixels;1.3;http://www.buscape.com.br/smartphone-quantum-muv-pro;;;5.5;müv pro;2.0;;596.35;8.0 megapixels frontal;quantum;16.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-7-128gb;single;1334 x 750;4.7;7 128gb;2.0;iphone;3144.15;7 megapixels frontal;apple;128.0
13.0 megapixels;1.0;http://www.buscape.com.br/smartphone-quantum-muv;;;5.5;müv;1.0;;473.89;8.0 megapixels frontal;quantum;16.0
;;http://www.buscape.com.br/smartphone-multilaser-ms45s;;;;ms45s;;;270.74;;multilaser;
5.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-j1-sm-j120h;dual;480 x 800;4.5;j1 sm-j120h;;galaxy;417.05;2.0 megapixels frontal;samsung;8.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-7-plus-32gb;single;1920 x 1080;5.5;7 plus 32gb;2.0;iphone;3399.0;7 megapixels frontal;apple;32.0
16.0 megapixels;1.5;http://www.buscape.com.br/smartphone-motorola-moto-g-4-plus-xt1640;dual;1920 x 1080;5.5;4 plus xt1640;2.0;moto g;997.9;5.0 megapixels frontal;motorola;32.0
13.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-a7-sm-a710m;dual;1920 x 1080;5.5;a7 sm-a710m;;galaxy;1104.15;5.0 megapixels frontal;samsung;16.0
16.0 megapixels;;http://www.buscape.com.br/smartphone-lg-g5-se-h840;;2560 x 1440;5.3;g5 se h840;3.0;;1499.0;8.0 megapixels frontal;lg;32.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-7-plus-128gb;single;1920 x 1080;5.5;7 plus 128gb;2.0;iphone;3799.0;7 megapixels frontal;apple;128.0
;;http://www.buscape.com.br/smartphone-multilaser-ms50;;;;ms50;;;332.49;;multilaser;
8.0 megapixels;;http://www.buscape.com.br/smartphone-multilaser-ms60;;;5.5;ms60;;;552.9;5.0 megapixels frontal;multilaser;16.0
13.0 megapixels;1.4;http://www.buscape.com.br/smartphone-samsung-galaxy-j5-prime-sm-g570m;dual;1280 x 720;5.0;j5 prime sm-g570m;2.0;galaxy;870.21;5.0 megapixels frontal;samsung;32.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-apple-iphone-5s-16gb;single;1136 x 640;4.0;5s 16gb;1.0;iphone;1278.0;1.2 megapixels frontal;apple;16.0
8.0 megapixels;1.2;http://www.buscape.com.br/smartphone-motorola-moto-g-4-play-xt1603;dual;1280 x 720;5.0;4 play xt1603;2.0;moto g;615.12;5.0 megapixels frontal;motorola;16.0
13.0 megapixels;;http://www.buscape.com.br/smartphone-samsung-galaxy-a5-sm-a510m;dual;1920 x 1080;5.2;a5 sm-a510m;;galaxy;1049.0;5.0 megapixels frontal;samsung;16.0
